================ Training Loss (Tue May 10 14:39:24 2022) ================
================ Training Loss (Tue May 10 14:39:41 2022) ================
(dataset: train, epoch: 1, iters: 1, time: 0.106, data: 0.329) all: 1.841 color: 0.515 lm: 1.327 
(dataset: val, epoch: 1, iters: 1, time: 0.255, data: 0.329) 
(dataset: train, epoch: 1, iters: 100, time: 0.145, data: 0.329) all: 0.872 color: 0.435 lm: 0.437 
(dataset: train, epoch: 1, iters: 200, time: 0.169, data: 0.003) all: 0.699 color: 0.323 lm: 0.376 
(dataset: train, epoch: 1, iters: 300, time: 0.183, data: 0.003) all: 0.573 color: 0.372 lm: 0.201 
(dataset: train, epoch: 1, iters: 400, time: 0.192, data: 0.003) all: 0.546 color: 0.342 lm: 0.203 
(dataset: train, epoch: 1, iters: 500, time: 0.198, data: 0.003) all: 0.735 color: 0.342 lm: 0.393 
(dataset: train, epoch: 1, iters: 600, time: 0.201, data: 0.003) all: 0.556 color: 0.334 lm: 0.222 
(dataset: train, epoch: 1, iters: 700, time: 0.203, data: 0.003) all: 0.468 color: 0.312 lm: 0.156 
(dataset: train, epoch: 1, iters: 800, time: 0.205, data: 0.003) all: 0.615 color: 0.331 lm: 0.284 
(dataset: train, epoch: 2, iters: 73, time: 0.206, data: 0.003) all: 0.417 color: 0.328 lm: 0.089 
(dataset: train, epoch: 2, iters: 173, time: 0.206, data: 0.003) all: 0.536 color: 0.343 lm: 0.193 
(dataset: train, epoch: 2, iters: 273, time: 0.207, data: 0.003) all: 0.433 color: 0.270 lm: 0.163 
(dataset: train, epoch: 2, iters: 373, time: 0.207, data: 0.003) all: 0.642 color: 0.290 lm: 0.352 
(dataset: train, epoch: 2, iters: 473, time: 0.207, data: 0.003) all: 0.459 color: 0.349 lm: 0.110 
(dataset: train, epoch: 2, iters: 573, time: 0.207, data: 0.003) all: 0.575 color: 0.262 lm: 0.313 
(dataset: train, epoch: 2, iters: 673, time: 0.209, data: 0.003) all: 0.344 color: 0.265 lm: 0.079 
(dataset: train, epoch: 2, iters: 773, time: 0.208, data: 0.004) all: 0.445 color: 0.289 lm: 0.156 
(dataset: train, epoch: 3, iters: 46, time: 0.214, data: 0.003) all: 0.357 color: 0.294 lm: 0.063 
(dataset: train, epoch: 3, iters: 146, time: 0.220, data: 0.003) all: 0.399 color: 0.276 lm: 0.123 
(dataset: train, epoch: 3, iters: 246, time: 0.222, data: 0.003) all: 0.308 color: 0.266 lm: 0.042 
(dataset: train, epoch: 3, iters: 346, time: 0.222, data: 0.004) all: 0.478 color: 0.342 lm: 0.135 
(dataset: train, epoch: 3, iters: 446, time: 0.224, data: 0.003) all: 0.362 color: 0.310 lm: 0.052 
(dataset: train, epoch: 3, iters: 546, time: 0.225, data: 0.003) all: 0.339 color: 0.284 lm: 0.054 
(dataset: train, epoch: 3, iters: 646, time: 0.223, data: 0.004) all: 0.333 color: 0.265 lm: 0.068 
(dataset: train, epoch: 3, iters: 746, time: 0.224, data: 0.004) all: 0.408 color: 0.286 lm: 0.122 
(dataset: train, epoch: 4, iters: 19, time: 0.224, data: 0.004) all: 0.442 color: 0.302 lm: 0.140 
(dataset: train, epoch: 4, iters: 119, time: 0.223, data: 0.003) all: 0.376 color: 0.241 lm: 0.135 
(dataset: train, epoch: 4, iters: 219, time: 0.221, data: 0.003) all: 0.359 color: 0.311 lm: 0.048 
(dataset: train, epoch: 4, iters: 319, time: 0.218, data: 0.003) all: 0.486 color: 0.406 lm: 0.080 
(dataset: train, epoch: 4, iters: 419, time: 0.220, data: 0.003) all: 0.370 color: 0.277 lm: 0.093 
(dataset: train, epoch: 4, iters: 519, time: 0.221, data: 0.004) all: 0.323 color: 0.269 lm: 0.054 
(dataset: train, epoch: 4, iters: 619, time: 0.218, data: 0.003) all: 0.340 color: 0.280 lm: 0.060 
(dataset: train, epoch: 4, iters: 719, time: 0.214, data: 0.003) all: 0.325 color: 0.268 lm: 0.058 
(dataset: train, epoch: 4, iters: 819, time: 0.217, data: 0.004) all: 0.354 color: 0.269 lm: 0.086 
(dataset: train, epoch: 5, iters: 92, time: 0.218, data: 0.003) all: 0.372 color: 0.273 lm: 0.099 
(dataset: train, epoch: 5, iters: 192, time: 0.219, data: 0.004) all: 0.378 color: 0.305 lm: 0.073 
(dataset: train, epoch: 5, iters: 292, time: 0.221, data: 0.004) all: 0.332 color: 0.275 lm: 0.057 
(dataset: train, epoch: 5, iters: 392, time: 0.222, data: 0.003) all: 0.336 color: 0.271 lm: 0.065 
(dataset: train, epoch: 5, iters: 492, time: 0.222, data: 0.002) all: 0.303 color: 0.266 lm: 0.037 
(dataset: train, epoch: 5, iters: 592, time: 0.222, data: 0.004) all: 0.391 color: 0.299 lm: 0.091 
(dataset: train, epoch: 5, iters: 692, time: 0.222, data: 0.004) all: 0.290 color: 0.237 lm: 0.053 
(dataset: train, epoch: 5, iters: 792, time: 0.222, data: 0.003) all: 0.413 color: 0.318 lm: 0.095 
(dataset: train, epoch: 6, iters: 65, time: 0.222, data: 0.003) all: 0.380 color: 0.351 lm: 0.029 
(dataset: train, epoch: 6, iters: 165, time: 0.221, data: 0.004) all: 0.322 color: 0.273 lm: 0.049 
(dataset: train, epoch: 6, iters: 265, time: 0.221, data: 0.003) all: 0.306 color: 0.256 lm: 0.051 
(dataset: train, epoch: 6, iters: 365, time: 0.221, data: 0.003) all: 0.341 color: 0.274 lm: 0.066 
(dataset: train, epoch: 6, iters: 465, time: 0.222, data: 0.003) all: 0.336 color: 0.294 lm: 0.042 
(dataset: train, epoch: 6, iters: 565, time: 0.221, data: 0.003) all: 0.370 color: 0.315 lm: 0.055 
(dataset: train, epoch: 6, iters: 665, time: 0.220, data: 0.003) all: 0.311 color: 0.257 lm: 0.053 
(dataset: train, epoch: 6, iters: 765, time: 0.221, data: 0.004) all: 0.334 color: 0.281 lm: 0.053 
(dataset: train, epoch: 7, iters: 38, time: 0.223, data: 0.003) all: 0.298 color: 0.262 lm: 0.036 
(dataset: val, epoch: 7, iters: 38, time: 0.285, data: 0.003) 
(dataset: train, epoch: 7, iters: 138, time: 0.222, data: 0.004) all: 0.376 color: 0.308 lm: 0.068 
(dataset: train, epoch: 7, iters: 238, time: 0.221, data: 0.003) all: 0.356 color: 0.275 lm: 0.081 
(dataset: train, epoch: 7, iters: 338, time: 0.222, data: 0.003) all: 0.310 color: 0.272 lm: 0.038 
(dataset: train, epoch: 7, iters: 438, time: 0.222, data: 0.003) all: 0.330 color: 0.284 lm: 0.046 
(dataset: train, epoch: 7, iters: 538, time: 0.219, data: 0.003) all: 0.277 color: 0.239 lm: 0.038 
(dataset: train, epoch: 7, iters: 638, time: 0.215, data: 0.003) all: 0.306 color: 0.266 lm: 0.041 
(dataset: train, epoch: 7, iters: 738, time: 0.212, data: 0.003) all: 0.290 color: 0.257 lm: 0.033 
(dataset: train, epoch: 8, iters: 11, time: 0.210, data: 0.004) all: 0.337 color: 0.268 lm: 0.069 
(dataset: train, epoch: 8, iters: 111, time: 0.209, data: 0.003) all: 0.355 color: 0.269 lm: 0.086 
(dataset: train, epoch: 8, iters: 211, time: 0.209, data: 0.003) all: 0.305 color: 0.263 lm: 0.042 
(dataset: train, epoch: 8, iters: 311, time: 0.208, data: 0.003) all: 0.306 color: 0.268 lm: 0.038 
(dataset: train, epoch: 8, iters: 411, time: 0.208, data: 0.003) all: 0.290 color: 0.265 lm: 0.026 
(dataset: train, epoch: 8, iters: 511, time: 0.207, data: 0.003) all: 0.297 color: 0.246 lm: 0.051 
(dataset: train, epoch: 8, iters: 611, time: 0.207, data: 0.003) all: 0.331 color: 0.296 lm: 0.036 
(dataset: train, epoch: 8, iters: 711, time: 0.207, data: 0.003) all: 0.342 color: 0.278 lm: 0.064 
(dataset: train, epoch: 8, iters: 811, time: 0.207, data: 0.003) all: 0.291 color: 0.259 lm: 0.032 
(dataset: train, epoch: 9, iters: 84, time: 0.207, data: 0.003) all: 0.299 color: 0.264 lm: 0.035 
(dataset: train, epoch: 9, iters: 184, time: 0.207, data: 0.003) all: 0.381 color: 0.338 lm: 0.043 
(dataset: train, epoch: 9, iters: 284, time: 0.207, data: 0.003) all: 0.279 color: 0.248 lm: 0.030 
(dataset: train, epoch: 9, iters: 384, time: 0.207, data: 0.003) all: 0.316 color: 0.262 lm: 0.053 
(dataset: train, epoch: 9, iters: 484, time: 0.207, data: 0.003) all: 0.310 color: 0.264 lm: 0.046 
(dataset: train, epoch: 9, iters: 584, time: 0.207, data: 0.003) all: 0.302 color: 0.247 lm: 0.055 
(dataset: train, epoch: 9, iters: 684, time: 0.207, data: 0.003) all: 0.282 color: 0.251 lm: 0.030 
(dataset: train, epoch: 9, iters: 784, time: 0.207, data: 0.003) all: 0.281 color: 0.251 lm: 0.029 
(dataset: train, epoch: 10, iters: 57, time: 0.207, data: 0.003) all: 0.267 color: 0.237 lm: 0.030 
(dataset: train, epoch: 10, iters: 157, time: 0.207, data: 0.003) all: 0.333 color: 0.291 lm: 0.042 
(dataset: train, epoch: 10, iters: 257, time: 0.207, data: 0.003) all: 0.285 color: 0.259 lm: 0.026 
(dataset: train, epoch: 10, iters: 357, time: 0.207, data: 0.003) all: 0.300 color: 0.252 lm: 0.048 
(dataset: train, epoch: 10, iters: 457, time: 0.207, data: 0.004) all: 0.261 color: 0.226 lm: 0.035 
(dataset: train, epoch: 10, iters: 557, time: 0.207, data: 0.003) all: 0.288 color: 0.250 lm: 0.038 
(dataset: train, epoch: 10, iters: 657, time: 0.208, data: 0.003) all: 0.282 color: 0.249 lm: 0.033 
(dataset: train, epoch: 10, iters: 757, time: 0.208, data: 0.003) all: 0.290 color: 0.249 lm: 0.042 
(dataset: train, epoch: 11, iters: 30, time: 0.208, data: 0.003) all: 0.295 color: 0.272 lm: 0.022 
(dataset: train, epoch: 11, iters: 130, time: 0.207, data: 0.003) all: 0.294 color: 0.265 lm: 0.029 
(dataset: train, epoch: 11, iters: 230, time: 0.207, data: 0.003) all: 0.271 color: 0.245 lm: 0.027 
(dataset: train, epoch: 11, iters: 330, time: 0.208, data: 0.003) all: 0.294 color: 0.269 lm: 0.025 
(dataset: train, epoch: 11, iters: 430, time: 0.208, data: 0.003) all: 0.281 color: 0.256 lm: 0.024 
(dataset: train, epoch: 11, iters: 530, time: 0.208, data: 0.004) all: 0.252 color: 0.233 lm: 0.019 
(dataset: train, epoch: 11, iters: 630, time: 0.208, data: 0.003) all: 0.265 color: 0.235 lm: 0.030 
(dataset: train, epoch: 11, iters: 730, time: 0.208, data: 0.004) all: 0.262 color: 0.234 lm: 0.027 
(dataset: train, epoch: 12, iters: 3, time: 0.208, data: 0.004) all: 0.259 color: 0.227 lm: 0.032 
(dataset: train, epoch: 12, iters: 103, time: 0.208, data: 0.003) all: 0.276 color: 0.248 lm: 0.028 
(dataset: train, epoch: 12, iters: 203, time: 0.207, data: 0.003) all: 0.269 color: 0.248 lm: 0.020 
(dataset: train, epoch: 12, iters: 303, time: 0.207, data: 0.003) all: 0.277 color: 0.254 lm: 0.023 
(dataset: train, epoch: 12, iters: 403, time: 0.207, data: 0.003) all: 0.267 color: 0.237 lm: 0.031 
(dataset: train, epoch: 12, iters: 503, time: 0.207, data: 0.003) all: 0.256 color: 0.225 lm: 0.030 
(dataset: train, epoch: 12, iters: 603, time: 0.207, data: 0.003) all: 0.266 color: 0.244 lm: 0.022 
(dataset: train, epoch: 12, iters: 703, time: 0.207, data: 0.003) all: 0.283 color: 0.258 lm: 0.025 
(dataset: train, epoch: 12, iters: 803, time: 0.207, data: 0.003) all: 0.255 color: 0.231 lm: 0.024 
(dataset: train, epoch: 13, iters: 76, time: 0.207, data: 0.003) all: 0.254 color: 0.238 lm: 0.016 
(dataset: val, epoch: 13, iters: 76, time: 0.273, data: 0.003) 
(dataset: train, epoch: 13, iters: 176, time: 0.208, data: 0.004) all: 0.241 color: 0.205 lm: 0.036 
(dataset: train, epoch: 13, iters: 276, time: 0.208, data: 0.003) all: 0.260 color: 0.239 lm: 0.021 
(dataset: train, epoch: 13, iters: 376, time: 0.208, data: 0.003) all: 0.260 color: 0.234 lm: 0.026 
(dataset: train, epoch: 13, iters: 476, time: 0.208, data: 0.003) all: 0.240 color: 0.213 lm: 0.027 
(dataset: train, epoch: 13, iters: 576, time: 0.208, data: 0.003) all: 0.267 color: 0.242 lm: 0.025 
(dataset: train, epoch: 13, iters: 676, time: 0.208, data: 0.003) all: 0.276 color: 0.262 lm: 0.015 
(dataset: train, epoch: 13, iters: 776, time: 0.208, data: 0.003) all: 0.254 color: 0.225 lm: 0.029 
(dataset: train, epoch: 14, iters: 49, time: 0.208, data: 0.003) all: 0.248 color: 0.230 lm: 0.017 
(dataset: train, epoch: 14, iters: 149, time: 0.208, data: 0.003) all: 0.285 color: 0.261 lm: 0.024 
(dataset: train, epoch: 14, iters: 249, time: 0.208, data: 0.003) all: 0.255 color: 0.236 lm: 0.019 
(dataset: train, epoch: 14, iters: 349, time: 0.208, data: 0.003) all: 0.306 color: 0.282 lm: 0.025 
(dataset: train, epoch: 14, iters: 449, time: 0.208, data: 0.003) all: 0.247 color: 0.224 lm: 0.024 
(dataset: train, epoch: 14, iters: 549, time: 0.208, data: 0.003) all: 0.244 color: 0.224 lm: 0.020 
(dataset: train, epoch: 14, iters: 649, time: 0.208, data: 0.003) all: 0.244 color: 0.222 lm: 0.022 
(dataset: train, epoch: 14, iters: 749, time: 0.208, data: 0.003) all: 0.244 color: 0.220 lm: 0.023 
(dataset: train, epoch: 15, iters: 22, time: 0.208, data: 0.003) all: 0.261 color: 0.242 lm: 0.019 
(dataset: train, epoch: 15, iters: 122, time: 0.208, data: 0.003) all: 0.246 color: 0.223 lm: 0.023 
(dataset: train, epoch: 15, iters: 222, time: 0.208, data: 0.003) all: 0.220 color: 0.202 lm: 0.018 
(dataset: train, epoch: 15, iters: 322, time: 0.208, data: 0.003) all: 0.249 color: 0.228 lm: 0.022 
(dataset: train, epoch: 15, iters: 422, time: 0.208, data: 0.003) all: 0.264 color: 0.234 lm: 0.029 
(dataset: train, epoch: 15, iters: 522, time: 0.208, data: 0.003) all: 0.260 color: 0.239 lm: 0.021 
(dataset: train, epoch: 15, iters: 622, time: 0.208, data: 0.003) all: 0.236 color: 0.217 lm: 0.019 
(dataset: train, epoch: 15, iters: 722, time: 0.208, data: 0.003) all: 0.245 color: 0.221 lm: 0.023 
(dataset: train, epoch: 15, iters: 822, time: 0.208, data: 0.004) all: 0.245 color: 0.227 lm: 0.018 
(dataset: train, epoch: 16, iters: 95, time: 0.208, data: 0.003) all: 0.267 color: 0.243 lm: 0.024 
(dataset: train, epoch: 16, iters: 195, time: 0.208, data: 0.003) all: 0.235 color: 0.217 lm: 0.018 
(dataset: train, epoch: 16, iters: 295, time: 0.208, data: 0.003) all: 0.239 color: 0.222 lm: 0.018 
(dataset: train, epoch: 16, iters: 395, time: 0.208, data: 0.003) all: 0.248 color: 0.223 lm: 0.025 
(dataset: train, epoch: 16, iters: 495, time: 0.208, data: 0.003) all: 0.257 color: 0.240 lm: 0.017 
(dataset: train, epoch: 16, iters: 595, time: 0.208, data: 0.003) all: 0.266 color: 0.240 lm: 0.027 
(dataset: train, epoch: 16, iters: 695, time: 0.208, data: 0.003) all: 0.269 color: 0.246 lm: 0.023 
(dataset: train, epoch: 16, iters: 795, time: 0.208, data: 0.003) all: 0.260 color: 0.235 lm: 0.025 
(dataset: train, epoch: 17, iters: 68, time: 0.208, data: 0.003) all: 0.263 color: 0.236 lm: 0.027 
(dataset: train, epoch: 17, iters: 168, time: 0.208, data: 0.003) all: 0.259 color: 0.235 lm: 0.024 
(dataset: train, epoch: 17, iters: 268, time: 0.208, data: 0.003) all: 0.252 color: 0.234 lm: 0.018 
